Data,Dia,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
09/04/2021,83,1808,13822,1247,4198,4992,19288,11873,1731,1767,29745,104402,20486,14708,15903,17129,32983,9524,33022,93883,10007,7399,1895,5463,27247,8348,217549,3224
10/04/2021,84,3349,11406,11126,3236,34352,15609,915,37377,22997,1292,45483,10701,1053,6589,10522,18381,1364,38659,63114,8691,2827,2699,71713,34877,1771,115074,372
11/04/2021,85,351,6151,699,876,7638,5637,457,88,1006,4976,4036,141,625,1775,372,7607,5502,8279,10877,4347,115,155,4129,10066,3392,17235,2
12/04/2021,86,1809,14064,15427,2239,56598,26095,6798,8104,24355,29851,62463,7154,9095,18071,16787,36827,8032,45016,96257,12059,2501,51,77146,26555,15252,205787,1459
13/04/2021,87,1292,20509,14821,2307,45236,24375,8202,17207,18527,35045,7413,8177,14626,21679,16649,37799,12818,38922,87039,12178,5783,2062,57412,28601,17067,139472,1789
14/04/2021,88,2456,19035,15611,1097,45344,24287,9307,1787,12693,41181,126306,6376,15279,15289,13606,33579,12081,34351,79196,12343,47,1843,48915,29489,14603,177779,1379
15/04/2021,89,1469,13,12901,627,52345,30243,14051,16202,12035,34901,114544,541,14255,21017,8534,35196,13046,3357,112482,10745,39,1683,44314,32349,13442,192521,7654
16/04/2021,90,1332,9737,13114,215,49052,32354,23628,18207,25339,19506,84613,13298,14164,24508,11327,31652,10132,51172,107446,6676,394,119,65384,32518,8971,325868,5105
17/04/2021,91,3085,5464,7875,508,46246,3419,10632,32958,34952,6554,4053,17717,7864,8741,9686,18147,9216,62692,45787,11451,1416,1041,85979,4777,226,85086,3622
18/04/2021,92,579,1848,929,612,20395,6504,4014,2511,3916,4157,1519,7009,192,729,1328,7967,6128,2687,374,6625,127,1268,5125,10562,4132,17604,17
19/04/2021,93,1347,9421,10953,4905,103985,37697,22765,18376,55705,33476,71859,15786,11682,28257,24234,53493,15963,113519,140222,12817,2842,34,103925,38697,1461,208141,3287
20/04/2021,94,1397,12484,13504,3087,99529,48568,20439,26646,74008,45764,155973,12009,19317,39111,3075,63315,25619,111051,126078,24344,10355,2067,109075,5184,18058,245312,4771
21/04/2021,95,693,6939,11458,1448,32262,31659,1294,10102,23054,2323,89993,2637,13095,23134,11454,20485,12905,32369,86973,7022,2788,1373,19223,23279,4457,252229,6588
22/04/2021,96,157,13057,13296,1751,77745,38221,15796,26713,4646,38117,173636,8031,18968,35529,22018,55731,22541,175947,117028,22964,10428,1655,102495,4554,10702,211329,11829
23/04/2021,97,1286,9122,12069,2035,60662,29926,32363,21083,32911,19993,131998,13314,18438,15721,15403,4047,15437,101901,90297,14634,6991,777,84929,32322,3835,265393,1126
24/04/2021,98,753,9192,1099,1726,42063,33308,13048,12708,26446,11501,52606,12323,12683,6582,9645,17417,7071,60692,54666,8086,5418,384,66595,3309,2237,70941,3941
25/04/2021,99,413,2399,640,513,16808,891,4476,457,2702,3047,7941,4014,79,2527,22482,9138,628,29376,627,4691,148,102,1183,4451,380,868,390
26/04/2021,100,1839,4825,1154,2434,90232,32572,20453,15533,52379,39723,9159,966,13788,183,20441,42614,17725,10514,132899,21537,638,62,82392,29958,7957,16174,8494
27/04/2021,101,2569,6054,13597,174,815,39601,13287,15703,49333,42192,111545,9364,18135,19328,2364,47149,22697,74966,133565,21433,7741,168,61155,34203,7056,121617,6073
28/04/2021,102,3593,63,9106,1486,52411,30255,7993,11051,36885,39249,163471,5136,15618,22956,13917,39561,19762,4533,132966,1421,6755,2533,3307,28945,5314,145519,8602
29/04/2021,103,3142,6462,14964,889,37673,22373,5212,9506,21449,32745,141843,615,17991,19176,1545,30623,13117,35309,122372,13549,8098,2695,2315,23333,3114,136032,12007
30/04/2021,104,1389,4578,14508,846,4686,13236,28286,7412,29684,26571,93373,12685,13689,15667,18467,24498,673,29844,107135,7745,8085,1369,18981,22003,2554,54949,6462
01/05/2021,105,706,506,10942,718,22093,15292,7146,4143,13694,7499,20524,10984,6899,6656,9794,9611,1067,27428,35052,1899,161,101,19939,33431,395,13637,1699
02/05/2021,106,313,4382,481,736,7732,7238,2627,91,17,2836,3099,7643,76,1327,1816,6208,6248,25737,712,176,144,326,446,11438,258,6046,6
