UF,Data,Quantidade
AP,29/03/2021,1643
AP,30/03/2021,1619
AP,31/03/2021,1553
AP,01/04/2021,1868
AP,02/04/2021,2219
AP,03/04/2021,2034
AP,04/04/2021,2149
AP,05/04/2021,2517
AP,06/04/2021,1719
AP,07/04/2021,1812
AP,08/04/2021,2492
AP,09/04/2021,4198
AP,10/04/2021,3236
AP,11/04/2021,876
AP,12/04/2021,2239
AP,13/04/2021,2307
AP,14/04/2021,1097
AP,15/04/2021,627
AP,16/04/2021,215
AP,17/04/2021,508
AP,18/04/2021,612
AP,19/04/2021,4905
AP,20/04/2021,3087
AP,21/04/2021,1448
AP,22/04/2021,1751
AP,23/04/2021,2035
AP,24/04/2021,1726
AP,25/04/2021,513
AP,26/04/2021,2434
AP,27/04/2021,174
AP,28/04/2021,1486
AP,29/04/2021,889
AP,30/04/2021,846
AP,01/05/2021,718
AP,02/05/2021,736
AP,03/05/2021,1384
AP,04/05/2021,1785
AP,05/05/2021,2938
AP,06/05/2021,2596
AP,07/05/2021,4125
AP,08/05/2021,185
AP,09/05/2021,5
AP,10/05/2021,995
AP,11/05/2021,2797
AP,12/05/2021,3331
AP,13/05/2021,2487
AP,14/05/2021,4231
AP,15/05/2021,7673
AP,16/05/2021,788
AP,17/05/2021,2651
AP,18/05/2021,4048
AP,19/05/2021,1123
AP,20/05/2021,1014
AP,21/05/2021,1918
AP,22/05/2021,648
AP,23/05/2021,19
AP,24/05/2021,1333
AP,25/05/2021,1145
AP,26/05/2021,1924
AP,27/05/2021,1811
AP,28/05/2021,2406
AP,29/05/2021,135
AP,30/05/2021,53
AP,31/05/2021,199
AP,01/06/2021,2003
AP,02/06/2021,1367
AP,03/06/2021,400
AP,04/06/2021,157
AP,05/06/2021,968
AP,06/06/2021,1369
AP,07/06/2021,251
AP,08/06/2021,279
AP,09/06/2021,31
AP,10/06/2021,3078
AP,11/06/2021,6902
AP,12/06/2021,3021
AP,13/06/2021,437
AP,14/06/2021,3612
AP,15/06/2021,351
AP,16/06/2021,4065
AP,17/06/2021,3065
AP,18/06/2021,2488
AP,19/06/2021,1936
AP,20/06/2021,291
AP,21/06/2021,1745
AP,22/06/2021,1067
AP,23/06/2021,1915
AP,24/06/2021,673
AP,25/06/2021,383
BA,17/01/2021,81
BA,18/01/2021,92
BA,19/01/2021,8183
BA,20/01/2021,29414
BA,21/01/2021,22785
BA,22/01/2021,14169
BA,23/01/2021,4687
BA,24/01/2021,36
BA,25/01/2021,15395
BA,26/01/2021,25308
BA,27/01/2021,21494
BA,28/01/2021,18298
BA,29/01/2021,18599
BA,30/01/2021,8462
BA,31/01/2021,5258
BA,01/02/2021,16259
BA,02/02/2021,23021
BA,03/02/2021,18155
BA,04/02/2021,17304
BA,05/02/2021,18329
BA,06/02/2021,9951
BA,07/02/2021,1577
BA,08/02/2021,2302
BA,09/02/2021,2663
BA,10/02/2021,18745
BA,11/02/2021,17864
BA,12/02/2021,1296
BA,13/02/2021,1033
BA,14/02/2021,65
BA,15/02/2021,9185
BA,16/02/2021,13532
BA,17/02/2021,21447
BA,18/02/2021,26345
BA,19/02/2021,19506
BA,20/02/2021,3378
BA,21/02/2021,296
BA,22/02/2021,24946
BA,23/02/2021,18972
BA,24/02/2021,9992
BA,25/02/2021,16765
BA,26/02/2021,27582
BA,27/02/2021,16117
BA,28/02/2021,8584
BA,01/03/2021,25873
BA,02/03/2021,29326
BA,03/03/2021,25444
BA,04/03/2021,34774
BA,05/03/2021,32209
BA,06/03/2021,13014
BA,07/03/2021,3153
BA,08/03/2021,34776
BA,09/03/2021,37617
BA,10/03/2021,33693
BA,11/03/2021,45956
BA,12/03/2021,46569
BA,13/03/2021,20923
BA,14/03/2021,5781
BA,15/03/2021,34862
BA,16/03/2021,30339
BA,17/03/2021,34521
BA,18/03/2021,63592
BA,19/03/2021,55215
BA,20/03/2021,22715
BA,21/03/2021,12082
BA,22/03/2021,77245
BA,23/03/2021,94538
BA,24/03/2021,77214
BA,25/03/2021,67549
BA,26/03/2021,51428
BA,27/03/2021,5182
BA,28/03/2021,30501
BA,29/03/2021,99172
BA,30/03/2021,93664
BA,31/03/2021,68853
BA,01/04/2021,317
BA,02/04/2021,2289
BA,03/04/2021,38855
BA,04/04/2021,12222
BA,05/04/2021,83878
BA,06/04/2021,63379
BA,07/04/2021,46765
BA,08/04/2021,41204
BA,09/04/2021,4992
BA,10/04/2021,34352
BA,11/04/2021,7638
BA,12/04/2021,56598
BA,13/04/2021,45236
BA,14/04/2021,45344
BA,15/04/2021,52345
BA,16/04/2021,49052
BA,17/04/2021,46246
BA,18/04/2021,20395
BA,19/04/2021,103985
BA,20/04/2021,99529
BA,21/04/2021,32262
BA,22/04/2021,77745
BA,23/04/2021,60662
BA,24/04/2021,42063
BA,25/04/2021,16808
BA,26/04/2021,90232
BA,27/04/2021,815
BA,28/04/2021,52411
BA,29/04/2021,37673
BA,30/04/2021,4686
BA,01/05/2021,22093
BA,02/05/2021,7732
BA,03/05/2021,69308
BA,04/05/2021,73033
BA,05/05/2021,77487
BA,06/05/2021,76575
BA,07/05/2021,65251
BA,08/05/2021,2459
BA,09/05/2021,521
BA,10/05/2021,64439
BA,11/05/2021,73973
BA,12/05/2021,50223
BA,13/05/2021,48458
BA,14/05/2021,36655
BA,15/05/2021,41042
BA,16/05/2021,15995
BA,17/05/2021,52946
BA,18/05/2021,46196
BA,19/05/2021,40279
BA,20/05/2021,44932
BA,21/05/2021,49618
BA,22/05/2021,22055
BA,23/05/2021,621
BA,24/05/2021,26982
BA,25/05/2021,39922
BA,26/05/2021,34434
BA,27/05/2021,68204
BA,28/05/2021,7163
BA,29/05/2021,14981
BA,30/05/2021,947
BA,31/05/2021,44391
BA,01/06/2021,43333
BA,02/06/2021,43457
BA,03/06/2021,42686
BA,04/06/2021,62455
BA,05/06/2021,23195
BA,06/06/2021,2543
BA,07/06/2021,67429
BA,08/06/2021,63042
BA,09/06/2021,4765
BA,10/06/2021,51597
BA,11/06/2021,68339
BA,12/06/2021,25144
BA,13/06/2021,1306
BA,14/06/2021,49889
BA,15/06/2021,49844
BA,16/06/2021,53374
BA,17/06/2021,34956
BA,18/06/2021,3966
BA,19/06/2021,29939
BA,20/06/2021,9557
BA,21/06/2021,62111
BA,22/06/2021,51787
BA,23/06/2021,15444
BA,24/06/2021,2173
BA,25/06/2021,2239
CE,17/01/2021,37169
CE,18/01/2021,118
CE,19/01/2021,4289
CE,20/01/2021,10365
CE,21/01/2021,9851
CE,22/01/2021,8128
CE,23/01/2021,2795
CE,24/01/2021,1815
CE,25/01/2021,7889
CE,26/01/2021,7277
CE,27/01/2021,17007
CE,28/01/2021,18632
CE,29/01/2021,1363
CE,30/01/2021,3487
CE,31/01/2021,1887
CE,01/02/2021,10733
CE,02/02/2021,13126
CE,03/02/2021,11445
CE,04/02/2021,11651
CE,05/02/2021,10633
CE,06/02/2021,6485
CE,07/02/2021,6168
CE,08/02/2021,8865
CE,09/02/2021,9216
CE,10/02/2021,11312
CE,11/02/2021,15188
CE,12/02/2021,137
CE,13/02/2021,11329
CE,14/02/2021,10703
CE,15/02/2021,1591
CE,16/02/2021,17424
CE,17/02/2021,18951
CE,18/02/2021,18907
CE,19/02/2021,14272
CE,20/02/2021,7457
CE,21/02/2021,4285
CE,22/02/2021,10956
CE,23/02/2021,9692
CE,24/02/2021,7819
CE,25/02/2021,11976
CE,26/02/2021,18151
CE,27/02/2021,7881
CE,28/02/2021,507
CE,01/03/2021,25072
CE,02/03/2021,21827
CE,03/03/2021,21306
CE,04/03/2021,21712
CE,05/03/2021,20182
CE,06/03/2021,13148
CE,07/03/2021,7633
CE,08/03/2021,20699
CE,09/03/2021,22015
CE,10/03/2021,23285
CE,11/03/2021,21767
CE,12/03/2021,17905
CE,13/03/2021,6245
CE,14/03/2021,263
CE,15/03/2021,15227
CE,16/03/2021,13711
CE,17/03/2021,14787
CE,18/03/2021,1751
CE,19/03/2021,10228
CE,20/03/2021,13601
CE,21/03/2021,7125
CE,22/03/2021,3556
CE,23/03/2021,53219
CE,24/03/2021,5571
CE,25/03/2021,6313
CE,26/03/2021,31201
CE,27/03/2021,27569
CE,28/03/2021,20983
CE,29/03/2021,38456
CE,30/03/2021,42605
CE,31/03/2021,47053
CE,01/04/2021,47338
CE,02/04/2021,30614
CE,03/04/2021,32931
CE,04/04/2021,7576
CE,05/04/2021,22854
CE,06/04/2021,28209
CE,07/04/2021,2682
CE,08/04/2021,23192
CE,09/04/2021,19288
CE,10/04/2021,15609
CE,11/04/2021,5637
CE,12/04/2021,26095
CE,13/04/2021,24375
CE,14/04/2021,24287
